reg_no,dob,name,result,subjects
82221040041,01/01/2000,Student 41,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040042,01/01/2000,Student 42,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040043,01/01/2000,Student 43,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040044,01/01/2000,Student 44,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040045,01/01/2000,Student 45,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040046,01/01/2000,Student 46,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040047,01/01/2000,Student 47,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040048,01/01/2000,Student 48,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040049,01/01/2000,Student 49,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040050,01/01/2000,Student 50,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040051,01/01/2000,Student 51,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040052,01/01/2000,Student 52,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040053,01/01/2000,Student 53,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040054,01/01/2000,Student 54,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040055,01/01/2000,Student 55,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040056,01/01/2000,Student 56,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040057,01/01/2000,Student 57,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040058,01/01/2000,Student 58,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040059,01/01/2000,Student 59,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040060,01/01/2000,Student 60,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040061,01/01/2000,Student 61,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040062,01/01/2000,Student 62,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040063,01/01/2000,Student 63,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040064,01/01/2000,Student 64,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040065,01/01/2000,Student 65,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040066,01/01/2000,Student 66,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040067,01/01/2000,Student 67,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040068,01/01/2000,Student 68,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040069,01/01/2000,Student 69,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040070,01/01/2000,Student 70,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040071,01/01/2000,Student 71,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040072,01/01/2000,Student 72,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040073,01/01/2000,Student 73,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040074,01/01/2000,Student 74,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040075,01/01/2000,Student 75,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040076,01/01/2000,Student 76,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040077,01/01/2000,Student 77,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040078,01/01/2000,Student 78,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040079,01/01/2000,Student 79,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040080,01/01/2000,Student 80,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040081,01/01/2000,Student 81,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040082,01/01/2000,Student 82,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040083,01/01/2000,Student 83,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040084,01/01/2000,Student 84,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040085,01/01/2000,Student 85,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040086,01/01/2000,Student 86,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040087,01/01/2000,Student 87,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040088,01/01/2000,Student 88,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040089,01/01/2000,Student 89,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040090,01/01/2000,Student 90,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040091,01/01/2000,Student 91,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040092,01/01/2000,Student 92,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040093,01/01/2000,Student 93,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040094,01/01/2000,Student 94,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040095,01/01/2000,Student 95,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040096,01/01/2000,Student 96,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040097,01/01/2000,Student 97,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040098,01/01/2000,Student 98,PASS,"{""CS101"":""U"",""CS102"":""U""}"
82221040099,01/01/2000,Student 99,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040100,01/01/2000,Student 100,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040101,01/01/2000,Student 101,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040102,01/01/2000,Student 102,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040103,01/01/2000,Student 103,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040104,01/01/2000,Student 104,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040105,01/01/2000,Student 105,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040106,01/01/2000,Student 106,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040107,01/01/2000,Student 107,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040108,01/01/2000,Student 108,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040109,01/01/2000,Student 109,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040110,01/01/2000,Student 110,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040111,01/01/2000,Student 111,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040112,01/01/2000,Student 112,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040113,01/01/2000,Student 113,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040114,01/01/2000,Student 114,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040115,01/01/2000,Student 115,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040116,01/01/2000,Student 116,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040117,01/01/2000,Student 117,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040118,01/01/2000,Student 118,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040119,01/01/2000,Student 119,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040120,01/01/2000,Student 120,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040121,01/01/2000,Student 121,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040122,01/01/2000,Student 122,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040123,01/01/2000,Student 123,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040124,01/01/2000,Student 124,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040125,01/01/2000,Student 125,PASS,"{""CS101"":""U"",""CS102"":""U""}"
82221040126,01/01/2000,Student 126,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040127,01/01/2000,Student 127,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040128,01/01/2000,Student 128,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040129,01/01/2000,Student 129,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040130,01/01/2000,Student 130,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040131,01/01/2000,Student 131,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040132,01/01/2000,Student 132,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040133,01/01/2000,Student 133,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040134,01/01/2000,Student 134,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040135,01/01/2000,Student 135,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040136,01/01/2000,Student 136,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040137,01/01/2000,Student 137,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040138,01/01/2000,Student 138,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040139,01/01/2000,Student 139,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040140,01/01/2000,Student 140,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040141,01/01/2000,Student 141,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040142,01/01/2000,Student 142,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040143,01/01/2000,Student 143,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040144,01/01/2000,Student 144,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040145,01/01/2000,Student 145,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040146,01/01/2000,Student 146,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040147,01/01/2000,Student 147,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040148,01/01/2000,Student 148,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040149,01/01/2000,Student 149,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040150,01/01/2000,Student 150,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040151,01/01/2000,Student 151,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040152,01/01/2000,Student 152,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040153,01/01/2000,Student 153,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040154,01/01/2000,Student 154,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040155,01/01/2000,Student 155,FAIL,"{""CS101"":""A"",""CS102"":""U""}"
82221040156,01/01/2000,Student 156,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040157,01/01/2000,Student 157,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040158,01/01/2000,Student 158,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040159,01/01/2000,Student 159,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040160,01/01/2000,Student 160,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040161,01/01/2000,Student 161,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040162,01/01/2000,Student 162,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040163,01/01/2000,Student 163,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040164,01/01/2000,Student 164,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040165,01/01/2000,Student 165,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040166,01/01/2000,Student 166,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040167,01/01/2000,Student 167,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040168,01/01/2000,Student 168,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040169,01/01/2000,Student 169,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040170,01/01/2000,Student 170,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040171,01/01/2000,Student 171,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040172,01/01/2000,Student 172,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040173,01/01/2000,Student 173,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040174,01/01/2000,Student 174,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040175,01/01/2000,Student 175,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040176,01/01/2000,Student 176,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040177,01/01/2000,Student 177,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040178,01/01/2000,Student 178,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040179,01/01/2000,Student 179,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040180,01/01/2000,Student 180,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040181,01/01/2000,Student 181,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040182,01/01/2000,Student 182,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040183,01/01/2000,Student 183,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040184,01/01/2000,Student 184,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040185,01/01/2000,Student 185,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040186,01/01/2000,Student 186,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040187,01/01/2000,Student 187,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040188,01/01/2000,Student 188,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040189,01/01/2000,Student 189,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040190,01/01/2000,Student 190,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040191,01/01/2000,Student 191,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040192,01/01/2000,Student 192,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040193,01/01/2000,Student 193,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040194,01/01/2000,Student 194,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040195,01/01/2000,Student 195,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040196,01/01/2000,Student 196,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040197,01/01/2000,Student 197,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040198,01/01/2000,Student 198,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040199,01/01/2000,Student 199,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040200,01/01/2000,Student 200,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040201,01/01/2000,Student 201,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040202,01/01/2000,Student 202,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040203,01/01/2000,Student 203,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040204,01/01/2000,Student 204,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040205,01/01/2000,Student 205,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040206,01/01/2000,Student 206,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040207,01/01/2000,Student 207,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040208,01/01/2000,Student 208,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040209,01/01/2000,Student 209,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040210,01/01/2000,Student 210,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040211,01/01/2000,Student 211,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040212,01/01/2000,Student 212,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040213,01/01/2000,Student 213,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040214,01/01/2000,Student 214,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040215,01/01/2000,Student 215,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040216,01/01/2000,Student 216,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040217,01/01/2000,Student 217,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040218,01/01/2000,Student 218,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040219,01/01/2000,Student 219,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040220,01/01/2000,Student 220,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040221,01/01/2000,Student 221,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040222,01/01/2000,Student 222,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040223,01/01/2000,Student 223,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040224,01/01/2000,Student 224,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040225,01/01/2000,Student 225,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040226,01/01/2000,Student 226,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040227,01/01/2000,Student 227,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040228,01/01/2000,Student 228,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040229,01/01/2000,Student 229,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040230,01/01/2000,Student 230,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040231,01/01/2000,Student 231,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040232,01/01/2000,Student 232,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040233,01/01/2000,Student 233,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040234,01/01/2000,Student 234,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040235,01/01/2000,Student 235,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040236,01/01/2000,Student 236,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040237,01/01/2000,Student 237,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040238,01/01/2000,Student 238,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040239,01/01/2000,Student 239,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040240,01/01/2000,Student 240,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040241,01/01/2000,Student 241,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040242,01/01/2000,Student 242,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040243,01/01/2000,Student 243,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040244,01/01/2000,Student 244,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040245,01/01/2000,Student 245,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040246,01/01/2000,Student 246,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040247,01/01/2000,Student 247,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040248,01/01/2000,Student 248,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040249,01/01/2000,Student 249,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040250,01/01/2000,Student 250,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040251,01/01/2000,Student 251,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040252,01/01/2000,Student 252,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040253,01/01/2000,Student 253,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040254,01/01/2000,Student 254,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040255,01/01/2000,Student 255,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040256,01/01/2000,Student 256,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040257,01/01/2000,Student 257,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040258,01/01/2000,Student 258,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040259,01/01/2000,Student 259,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040260,01/01/2000,Student 260,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040261,01/01/2000,Student 261,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040262,01/01/2000,Student 262,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040263,01/01/2000,Student 263,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040264,01/01/2000,Student 264,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040265,01/01/2000,Student 265,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040266,01/01/2000,Student 266,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040267,01/01/2000,Student 267,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040268,01/01/2000,Student 268,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040269,01/01/2000,Student 269,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040270,01/01/2000,Student 270,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040271,01/01/2000,Student 271,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040272,01/01/2000,Student 272,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040273,01/01/2000,Student 273,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040274,01/01/2000,Student 274,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040275,01/01/2000,Student 275,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040276,01/01/2000,Student 276,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040277,01/01/2000,Student 277,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040278,01/01/2000,Student 278,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040279,01/01/2000,Student 279,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040280,01/01/2000,Student 280,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040281,01/01/2000,Student 281,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040282,01/01/2000,Student 282,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040283,01/01/2000,Student 283,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040284,01/01/2000,Student 284,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040285,01/01/2000,Student 285,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040286,01/01/2000,Student 286,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040287,01/01/2000,Student 287,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040288,01/01/2000,Student 288,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040289,01/01/2000,Student 289,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040290,01/01/2000,Student 290,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040291,01/01/2000,Student 291,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040292,01/01/2000,Student 292,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040293,01/01/2000,Student 293,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040294,01/01/2000,Student 294,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040295,01/01/2000,Student 295,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040296,01/01/2000,Student 296,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040297,01/01/2000,Student 297,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040298,01/01/2000,Student 298,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040299,01/01/2000,Student 299,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040300,01/01/2000,Student 300,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040301,01/01/2000,Student 301,FAIL,"{""CS101"":""U"",""CS102"":""B""}"
82221040302,01/01/2000,Student 302,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040303,01/01/2000,Student 303,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040304,01/01/2000,Student 304,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040305,01/01/2000,Student 305,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040306,01/01/2000,Student 306,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040307,01/01/2000,Student 307,PASS,"{""CS101"":""U"",""CS102"":""U""}"
82221040308,01/01/2000,Student 308,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040309,01/01/2000,Student 309,PASS,"{""CS101"":""U"",""CS102"":""B""}"
